null,Sourced,Placed,References,Value,Footprint
1,✓,,U1_clk_select_0,SPFT_Sliding_Switch-dynacore,SW_Sliding_5Pos
2,✓,,U2,XC3S250E-4TQG144C,TQFP-144_20x20mm_P0.5mm
3,✓,,R_d_in_acc_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
4,✓,,R_d_in_acc_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
5,✓,,R_d_in_bus1_one_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
6,✓,,R_d_in_bus1_ps_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
7,✓,,R_d_in_clk_manual_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
8,✓,,R_d_in_iar_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
9,✓,,R_d_in_iar_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
10,✓,,R_d_in_ir_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
11,✓,,R_d_in_ir_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
12,✓,,R_d_in_is_bus1_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
13,✓,,R_d_in_is_clk_external_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
14,✓,,R_d_in_is_clk_high_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
15,✓,,R_d_in_is_clk_low_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
16,✓,,R_d_in_is_clk_manual_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
17,✓,,R_d_in_is_clk_veryhigh_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
18,✓,,R_d_in_manual_input_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
19,✓,,R_d_in_none_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
20,✓,,R_d_in_r0_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
21,✓,,R_d_in_r0_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
22,✓,,R_d_in_r1_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
23,✓,,R_d_in_r1_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
24,✓,,R_d_in_r2_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
25,✓,,R_d_in_r2_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
26,✓,,R_d_in_r3_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
27,✓,,R_d_in_r3_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
28,✓,,R_d_in_ram_a_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
29,✓,,R_d_in_ram_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
30,✓,,R_d_in_ram_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
31,✓,,R_d_in_read_reg_en_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
32,✓,,R_d_in_temp_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
33,✓,,R_d_in_write_reg_en_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
34,✓,,R_out_acc_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
35,✓,,R_out_acc_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
36,✓,,R_out_bus1_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
37,✓,,R_out_can_read_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
38,✓,,R_out_can_write_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
39,✓,,R_out_clk_internal_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
40,✓,,R_out_clkc_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
41,✓,,R_out_clkr_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
42,✓,,R_out_clkw_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
43,✓,,R_out_flags_C_out_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
44,✓,,R_out_flags_eq_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
45,✓,,R_out_flags_gt_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
46,✓,,R_out_flags_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
47,✓,,R_out_flags_z_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
48,✓,,R_out_iar_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
49,✓,,R_out_iar_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
50,✓,,R_out_ir_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
51,✓,,R_out_is_bus1_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
52,✓,,R_out_r0_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
53,✓,,R_out_r0_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
54,✓,,R_out_r1_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
55,✓,,R_out_r1_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
56,✓,,R_out_r2_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
57,✓,,R_out_r2_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
58,✓,,R_out_r3_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
59,✓,,R_out_r3_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
60,✓,,R_out_ram_a_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
61,✓,,R_out_ram_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
62,✓,,R_out_ram_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
63,✓,,R_out_s1_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
64,✓,,R_out_s2_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
65,✓,,R_out_s3_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
66,✓,,R_out_s4_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
67,✓,,R_out_s5_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
68,✓,,R_out_s6_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
69,✓,,R_out_sysbus_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
70,✓,,R_out_sysbus_1,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
71,✓,,R_out_sysbus_2,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
72,✓,,R_out_sysbus_3,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
73,✓,,R_out_sysbus_4,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
74,✓,,R_out_sysbus_5,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
75,✓,,R_out_sysbus_6,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
76,✓,,R_out_sysbus_7,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
77,✓,,R_out_temp_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
78,✓,,R_vcc_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
79,✓,,R_clk_oe_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
80,✓,,R_HSWAP_EN_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
81,✓,,R_in_acc_r_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
82,✓,,R_in_acc_w_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
83,✓,,R_in_bus1_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
84,✓,,R_in_clk_manual_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
85,✓,,R_in_iar_r_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
86,✓,,R_in_iar_w_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
87,✓,,R_in_ir_r_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
88,✓,,R_in_ir_w_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
89,✓,,R_in_is_bus1_w_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
90,✓,,R_in_is_clk_external_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
91,✓,,R_in_is_clk_high_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
92,✓,,R_in_is_clk_low_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
93,✓,,R_in_is_clk_manual_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
94,✓,,R_in_is_clk_veryhigh_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
95,✓,,R_in_manual_input_o_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
96,✓,,R_in_manual_input_o_1,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
97,✓,,R_in_manual_input_o_2,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
98,✓,,R_in_manual_input_o_3,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
99,✓,,R_in_manual_input_o_4,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
100,✓,,R_in_manual_input_o_5,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
101,✓,,R_in_manual_input_o_6,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
102,✓,,R_in_manual_input_o_7,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
103,✓,,R_in_manual_input_r_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
104,✓,,R_in_r0_r_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
105,✓,,R_in_r0_w_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
106,✓,,R_in_r1_r_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
107,✓,,R_in_r1_w_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
108,✓,,R_in_r2_r_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
109,✓,,R_in_r2_w_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
110,✓,,R_in_r3_r_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
111,✓,,R_in_r3_w_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
112,✓,,R_in_ram_a_w_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
113,✓,,R_in_ram_r_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
114,✓,,R_in_ram_w_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
115,✓,,R_in_read_reg_en_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
116,✓,,R_in_temp_w_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
117,✓,,R_in_write_reg_en_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
118,✓,,R_M_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
119,✓,,R_reset_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
120,✓,,R_VS_0,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
121,✓,,R_VS_1,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
122,✓,,R_VS_2,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
123,✓,,D_in_acc_w_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
124,✓,,D_in_iar_w_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
125,✓,,D_in_ir_w_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
126,✓,,D_in_is_bus1_w_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
127,✓,,D_in_r0_w_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
128,✓,,D_in_r1_w_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
129,✓,,D_in_r2_w_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
130,✓,,D_in_r3_w_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
131,✓,,D_in_ram_a_w_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
132,✓,,D_in_ram_w_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
133,✓,,D_in_read_reg_en_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
134,✓,,D_in_temp_w_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
135,✓,,D_in_write_reg_en_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
136,✓,,D_out_acc_w_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
137,✓,,D_out_clkw_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
138,✓,,D_out_flags_C_out_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
139,✓,,D_out_flags_w_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
140,✓,,D_out_iar_w_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
141,✓,,D_out_ir_w_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
