null,Sourced,Placed,References,Value,Footprint
142,✓,,D_out_r0_w_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
143,✓,,D_out_r1_w_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
144,✓,,D_out_r2_w_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
145,✓,,D_out_r3_w_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
146,✓,,D_out_ram_a_w_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
147,✓,,D_out_ram_w_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
148,✓,,D_out_sysbus_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
149,✓,,D_out_sysbus_1,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
150,✓,,D_out_sysbus_2,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
151,✓,,D_out_sysbus_3,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
152,✓,,D_out_sysbus_4,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
153,✓,,D_out_sysbus_5,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
154,✓,,D_out_sysbus_6,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
155,✓,,D_out_sysbus_7,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
156,✓,,D_out_temp_w_0,LED red 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
157,✓,,D_in_acc_r_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
158,✓,,D_in_bus1_one_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
159,✓,,D_in_bus1_ps_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
160,✓,,D_in_iar_r_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
161,✓,,D_in_ir_r_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
162,✓,,D_in_is_clk_external_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
163,✓,,D_in_is_clk_high_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
164,✓,,D_in_is_clk_low_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
165,✓,,D_in_is_clk_manual_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
166,✓,,D_in_is_clk_veryhigh_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
167,✓,,D_in_manual_input_r_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
168,✓,,D_in_none_r_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
169,✓,,D_in_r0_r_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
170,✓,,D_in_r1_r_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
171,✓,,D_in_r2_r_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
172,✓,,D_in_r3_r_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
173,✓,,D_in_ram_r_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
174,✓,,D_out_acc_r_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
175,✓,,D_out_bus1_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
176,✓,,D_out_can_read_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
177,✓,,D_out_can_write_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
178,✓,,D_out_clkr_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
179,✓,,D_out_flags_eq_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
180,✓,,D_out_iar_r_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
181,✓,,D_out_is_bus1_w_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
182,✓,,D_out_r0_r_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
183,✓,,D_out_r1_r_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
184,✓,,D_out_r2_r_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
185,✓,,D_out_r3_r_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
186,✓,,D_out_ram_r_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
187,✓,,D_vcc_0,LED green 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
188,✓,,J_D0_DIN_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
189,✓,,J_DONE_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
190,✓,,J_DOUT_BUSY_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
191,✓,,J_eeprom_spi_clk_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
192,✓,,J_eeprom_spi_cs_n_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
193,✓,,J_eeprom_spi_din_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
194,✓,,J_INIT_B_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
195,✓,,J_P29_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
196,✓,,J_P31_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
197,✓,,J_P36_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
198,✓,,J_P48_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
199,✓,,J_P78_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
200,✓,,J_P84_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
201,✓,,J_P101_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
202,✓,,J_P107_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
203,✓,,J_P111_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
204,✓,,J_P114_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
205,✓,,J_P128_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
206,✓,,J_P129_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
207,✓,,J_PROG_B_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
208,✓,,J_TCK_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
209,✓,,J_TDI_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
210,✓,,J_TDO_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
211,✓,,J_TMS_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
212,✓,,J_VCC_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
213,✓,,J_VCC_aux_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
214,✓,,J_VCC_core_0,Conn_01x01_Male,SolderWirePad_1x01_SMD_1x2mm
215,✓,,SW_in_acc_w_0,SW_DPDT_x2,Tactile_6PIN_SPDT_8.5x8.5mm
216,✓,,SW_in_bus1_0,SW_DPDT_x2,Tactile_6PIN_SPDT_8.5x8.5mm
217,✓,,SW_in_iar_w_0,SW_DPDT_x2,Tactile_6PIN_SPDT_8.5x8.5mm
218,✓,,SW_in_ir_w_0,SW_DPDT_x2,Tactile_6PIN_SPDT_8.5x8.5mm
219,✓,,SW_in_is_bus1_w_0,SW_DPDT_x2,Tactile_6PIN_SPDT_8.5x8.5mm
220,✓,,SW_in_r0_w_0,SW_DPDT_x2,Tactile_6PIN_SPDT_8.5x8.5mm
221,✓,,SW_in_r1_w_0,SW_DPDT_x2,Tactile_6PIN_SPDT_8.5x8.5mm
222,✓,,SW_in_r2_w_0,SW_DPDT_x2,Tactile_6PIN_SPDT_8.5x8.5mm
223,✓,,SW_in_r3_w_0,SW_DPDT_x2,Tactile_6PIN_SPDT_8.5x8.5mm
224,✓,,SW_in_ram_a_w_0,SW_DPDT_x2,Tactile_6PIN_SPDT_8.5x8.5mm
225,✓,,SW_in_ram_w_0,SW_DPDT_x2,Tactile_6PIN_SPDT_8.5x8.5mm
226,✓,,SW_in_read_reg_en_0,SW_DPDT_x2,Tactile_6PIN_SPDT_8.5x8.5mm
227,✓,,SW_in_temp_w_0,SW_DPDT_x2,Tactile_6PIN_SPDT_8.5x8.5mm
228,✓,,SW_in_write_reg_en_0,SW_DPDT_x2,Tactile_6PIN_SPDT_8.5x8.5mm
229,✓,,SW_pwr_0,SW_DPDT_x2,Tactile_6PIN_SPDT_8.5x8.5mm
230,✓,,SW_in_manual_input_o_0,SW_SPDT,SW_SPDT_Small
231,✓,,SW_in_manual_input_o_1,SW_SPDT,SW_SPDT_Small
232,✓,,SW_in_manual_input_o_2,SW_SPDT,SW_SPDT_Small
233,✓,,SW_in_manual_input_o_3,SW_SPDT,SW_SPDT_Small
234,✓,,SW_in_manual_input_o_4,SW_SPDT,SW_SPDT_Small
235,✓,,SW_in_manual_input_o_5,SW_SPDT,SW_SPDT_Small
236,✓,,SW_in_manual_input_o_6,SW_SPDT,SW_SPDT_Small
237,✓,,SW_in_manual_input_o_7,SW_SPDT,SW_SPDT_Small
238,✓,,C_pwr_aux_0,100uF,CP_Elec_6.3x5.4
239,✓,,C_pwr_aux_1,100uF,CP_Elec_6.3x5.4
240,✓,,C_pwr_vcc_0,100uF,CP_Elec_6.3x5.4
241,✓,,C_pwr_vcc_core_0,100uF,CP_Elec_6.3x5.4
242,✓,,C_pwr_vcc_core_1,100uF,CP_Elec_6.3x5.4
243,✓,,U_pwr_vcc_1,100uF,CP_Elec_6.3x5.4
244,✓,,D_out_s1_0,LED orange 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
245,✓,,D_out_s2_0,LED orange 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
246,✓,,D_out_s3_0,LED orange 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
247,✓,,D_out_s4_0,LED orange 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
248,✓,,D_out_s5_0,LED orange 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
249,✓,,D_out_s6_0,LED orange 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
250,✓,,R__eeprom_dq1_0,33R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
251,✓,,R_clk_out_0,33R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
252,✓,,R_JTAG_TCK_0,33R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
253,✓,,R_JTAG_TDI_0,33R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
254,✓,,R_JTAG_TDO_0,33R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
255,✓,,R_JTAG_TMS_0,33R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
256,✓,,R_eeprom_hold_0,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
257,✓,,R_eeprom_s_0,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
258,✓,,R_eeprom_spi_clk_pulldown_0,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
259,✓,,R_eeprom_spi_clk_pullup_0,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
260,✓,,R_eeprom_w_0,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
261,✓,,D_in_clk_manual_0,LED yellow 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
262,✓,,D_out_clk_internal_0,LED yellow 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
263,✓,,D_out_clkc_0,LED yellow 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
264,✓,,D_out_flags_gt_0,LED yellow 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
265,✓,,J_clk_0,Conn_01x01_Male,PinHeader_1x01_P2.54mm_Vertical
266,✓,,J_GND_0,Conn_01x01_Male,PinHeader_1x01_P2.54mm_Vertical
267,✓,,J_OUT_USART1_TX_0,Conn_01x01_Male,PinHeader_1x01_P2.54mm_Vertical
268,✓,,C_clk_0,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
269,✓,,C_clk_1,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
270,✓,,C_clk_out_0,15pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
271,✓,,C_eeprom_vcc_0,104,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
272,✓,,D_out_flags_z_0,LED blue 2.0V/20mA,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder
273,✓,,F_pwr_0,Fuse 3.3V / 2A,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder
274,✓,,J_pwr_0,USB_A,USB_A_Molex_105057_Vertical
275,✓,,P_JTAG_0,Xilinx_JTAG,IDC-Header_2x07-1MP_P2.54mm_Latch_Vertical
276,✓,,SW_in_clk_manual_0,SW_Push,SPST_Square
277,✓,,SW_read_register_0,SW_Rotary12,SR26 1-1-12P
278,✓,,SW_reset_0,SW_Push,SW_PUSH_6mm_H9.5mm
279,✓,,U_eeprom_0,M25P16-VMN3PB,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm
280,✓,,U_pwr_aux_0,AMS1117-2.5,SOT-223-3_TabPin2
281,✓,,U_pwr_vcc_0,AMS1117-3.3,SOT-223-3_TabPin2
282,✓,,U_pwr_vcc_core_0,AMS1117-1.2,SOT-223-3_TabPin2
283,✓,,X_clk_0,XO91,Oscillator_SMD_EuroQuartz_XO91-4Pin_7.0x5.0mm_HandSoldering
